"","TYP_DIPL","DEGETU","CURSUS_LMD","RES"
"1015","XB",5,"M","N"
"1016","XA",3,"L","O"
"1017","XA",3,"L","N"
"1018","XB",4,"M","N"
"1019","XB",5,"M","O"
"1021","XA",1,"L","N"
"1022","XA",2,"L","N"
"1023","IB",4,"M","N"
"1024","XA",2,"L","N"
"1025","XB",5,"M","O"
"1026","XB",5,"M","O"
"1027","XA",2,"L","N"
"1028","FH",4,"M","N"
"1029","XA",1,"L","N"
"1030","XB",5,"M","O"
"1031","CY",1,"L","N"
"1032","PF",2,"M","N"
"1033","XA",2,"L","N"
"1034","XB",5,"M","N"
"1035","XA",1,"L","N"
"1036","01",3,"L","O"
"1037","XA",2,"L","N"
